Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,new_column,Married
Senior,1,22.0,1,0,7.25,S,1.9810014688665833,1.0
junior,0,38.0,1,0,71.2833,C,4.26666207838721,1.0
Senior,0,26.0,0,0,7.925,S,2.0700223197633445,0.0
junior,0,35.0,1,0,53.1,S,3.9721769282478934,1.0
Senior,1,35.0,0,0,8.05,S,2.0856720914304723,1.0
Senior,1,29.881137667304014,0,0,8.4583,Q,2.135148207799377,1.0
junior,1,54.0,0,0,51.8625,S,3.948595985658986,1.0
Senior,1,2.0,3,1,21.075,S,3.048087503887919,0.0
Senior,0,27.0,0,2,11.1333,S,2.409940617298087,1.0
Senior,0,14.0,1,0,30.0708,C,3.4035546012358333,1.0
Senior,0,4.0,1,1,16.7,S,2.8154087194227095,0.0
junior,0,58.0,0,0,26.55,S,3.279029747687948,0.0
Senior,1,20.0,0,0,8.05,S,2.0856720914304723,1.0
Senior,1,39.0,1,5,31.275,S,3.442819056352975,1.0
Senior,0,14.0,0,0,7.8542,S,2.061048420562944,0.0
Senior,0,55.0,0,0,16.0,S,2.772588722239781,1.0
Senior,1,2.0,4,1,29.125,Q,3.371596911885865,0.0
Senior,1,29.881137667304014,0,0,13.0,S,2.5649493574615367,1.0
Senior,0,31.0,1,0,18.0,S,2.8903717578961645,1.0
Senior,0,29.881137667304014,0,0,7.225,C,1.9775472339984959,1.0
Senior,1,35.0,0,0,26.0,S,3.258096538021482,1.0
Senior,1,34.0,0,0,13.0,S,2.5649493574615367,1.0
Senior,0,15.0,0,0,8.0292,Q,2.0830848965946345,0.0
junior,1,28.0,0,0,35.5,S,3.56953269648137,1.0
Senior,0,8.0,3,1,21.075,S,3.048087503887919,0.0
Senior,0,38.0,1,5,31.3875,S,3.4464097244837033,1.0
Senior,1,29.881137667304014,0,0,7.225,C,1.9775472339984959,1.0
junior,1,19.0,3,2,263.0,S,5.572154032177765,1.0
Senior,0,29.881137667304014,0,0,7.8792,Q,2.0642263758733557,0.0
Senior,1,29.881137667304014,0,0,7.8958,S,2.0663309725297405,1.0
junior,1,40.0,0,0,27.7208,C,3.32218303393412,0.0
junior,0,29.881137667304014,1,0,146.5208,C,4.9871673979011675,1.0
Senior,0,29.881137667304014,0,0,7.75,Q,2.0476928433652555,0.0
Senior,1,66.0,0,0,10.5,S,2.3513752571634776,1.0
junior,1,28.0,1,0,82.1708,C,4.408800007809053,1.0
junior,1,42.0,1,0,52.0,S,3.9512437185814275,1.0
Senior,1,29.881137667304014,0,0,7.2292,C,1.9781283799793465,1.0
Senior,1,21.0,0,0,8.05,S,2.0856720914304723,1.0
Senior,0,18.0,2,0,18.0,S,2.8903717578961645,0.0
Senior,0,14.0,1,0,11.2417,C,2.419630078580691,0.0
Senior,0,40.0,1,0,9.475,S,2.24865675096849,1.0
Senior,0,27.0,1,0,21.0,S,3.044522437723423,1.0
Senior,1,29.881137667304014,0,0,7.8958,C,2.0663309725297405,1.0
Senior,0,3.0,1,2,41.5792,C,3.7276000422255353,0.0
Senior,0,19.0,0,0,7.8792,Q,2.0642263758733557,0.0
Senior,1,29.881137667304014,0,0,8.05,S,2.0856720914304723,1.0
Senior,1,29.881137667304014,1,0,15.5,Q,2.740840023925201,1.0
Senior,0,29.881137667304014,0,0,7.75,Q,2.0476928433652555,0.0
Senior,1,29.881137667304014,2,0,21.6792,C,3.0763532755216065,1.0
Senior,0,18.0,1,0,17.8,S,2.8791984572980396,1.0
Senior,1,7.0,4,1,39.6875,S,3.6810362766529106,0.0
Senior,1,21.0,0,0,7.8,S,2.0541237336955462,1.0
junior,0,49.0,1,0,76.7292,C,4.340282339965535,1.0
Senior,0,29.0,1,0,26.0,S,3.258096538021482,1.0
junior,1,65.0,0,1,61.9792,C,4.126798844886821,1.0
junior,1,29.881137667304014,0,0,35.5,S,3.56953269648137,1.0
Senior,0,21.0,0,0,10.5,S,2.3513752571634776,0.0
Senior,1,28.5,0,0,7.2292,C,1.9781283799793465,1.0
Senior,0,5.0,1,2,27.75,S,3.3232358401924436,0.0
Senior,1,11.0,5,2,46.9,S,3.8480176754522337,0.0
Senior,1,22.0,0,0,7.2292,C,1.9781283799793465,1.0
junior,0,38.0,0,0,80.0,S,4.382026634673881,0.0
junior,1,45.0,1,0,83.475,S,4.424547185829718,1.0
Senior,1,4.0,3,2,27.9,S,3.32862668882732,0.0
junior,1,29.881137667304014,0,0,27.7208,C,3.32218303393412,1.0
Senior,1,29.881137667304014,1,1,15.2458,C,2.7243040552851014,0.0
Senior,0,29.0,0,0,10.5,S,2.3513752571634776,1.0
Senior,1,19.0,0,0,8.1583,S,2.0990358139382788,1.0
Senior,0,17.0,4,2,7.925,S,2.0700223197633445,0.0
Senior,1,26.0,2,0,8.6625,S,2.1590033645160216,1.0
Senior,1,32.0,0,0,10.5,S,2.3513752571634776,1.0
Senior,0,16.0,5,2,46.9,S,3.8480176754522337,0.0
Senior,1,21.0,0,0,73.5,S,4.297285406218791,1.0
Senior,1,26.0,1,0,14.4542,C,2.6709850297651974,1.0
Senior,1,32.0,0,0,56.4958,S,4.034166299106131,1.0
Senior,1,25.0,0,0,7.65,S,2.0347056478384444,1.0
Senior,1,29.881137667304014,0,0,7.8958,S,2.0663309725297405,1.0
Senior,1,29.881137667304014,0,0,8.05,S,2.0856720914304723,1.0
Senior,1,0.83,0,2,29.0,S,3.367295829986474,0.0
Senior,0,30.0,0,0,12.475,S,2.5237266416375825,0.0
Senior,1,22.0,0,0,9.0,S,2.1972245773362196,1.0
Senior,1,29.0,0,0,9.5,S,2.2512917986064953,1.0
Senior,0,29.881137667304014,0,0,7.7875,Q,2.0525198841135714,0.0
junior,1,28.0,0,0,47.1,S,3.8522730010223722,1.0
Senior,0,17.0,0,0,10.5,S,2.3513752571634776,0.0
Senior,0,33.0,3,0,15.85,S,2.7631695003232895,1.0
Senior,1,16.0,1,3,34.375,S,3.5373295559867355,1.0
Senior,1,29.881137667304014,0,0,8.05,S,2.0856720914304723,1.0
junior,0,23.0,3,2,263.0,S,5.572154032177765,0.0
Senior,1,24.0,0,0,8.05,S,2.0856720914304723,1.0
Senior,1,29.0,0,0,8.05,S,2.0856720914304723,1.0
Senior,1,20.0,0,0,7.8542,S,2.061048420562944,1.0
junior,1,46.0,1,0,61.175,S,4.113738609328736,1.0
Senior,1,26.0,1,2,20.575,S,3.0240767465631335,1.0
Senior,1,59.0,0,0,7.25,S,1.9810014688665833,1.0
Senior,1,29.881137667304014,0,0,8.05,S,2.0856720914304723,1.0
junior,1,71.0,0,0,34.6542,C,3.545418930411529,1.0
junior,1,23.0,0,1,63.3583,C,4.148805916338137,1.0
Senior,0,34.0,0,1,23.0,S,3.1354942159291497,1.0
Senior,1,34.0,1,0,26.0,S,3.258096538021482,1.0
Senior,0,28.0,0,0,7.8958,S,2.0663309725297405,0.0
Senior,1,29.881137667304014,0,0,7.8958,S,2.0663309725297405,1.0
junior,1,21.0,0,1,77.2875,S,4.347532234884687,1.0
Senior,1,33.0,0,0,8.6542,S,2.158044752235899,1.0
Senior,1,37.0,2,0,7.925,S,2.0700223197633445,1.0
Senior,1,28.0,0,0,7.8958,S,2.0663309725297405,1.0
Senior,0,21.0,0,0,7.65,S,2.0347056478384444,0.0
Senior,1,29.881137667304014,0,0,7.775,S,2.0509134580652977,1.0
Senior,1,38.0,0,0,7.8958,S,2.0663309725297405,1.0
Senior,0,29.881137667304014,1,0,24.15,Q,3.184284380098582,0.0
junior,1,47.0,0,0,52.0,S,3.9512437185814275,1.0
Senior,0,14.5,1,0,14.4542,C,2.6709850297651974,0.0
Senior,1,22.0,0,0,8.05,S,2.0856720914304723,1.0
Senior,0,20.0,1,0,9.825,S,2.284930157755325,0.0
Senior,0,17.0,0,0,14.4583,C,2.671268644120752,0.0
Senior,1,21.0,0,0,7.925,S,2.0700223197633445,1.0
Senior,1,70.5,0,0,7.75,Q,2.0476928433652555,1.0
Senior,1,29.0,1,0,21.0,S,3.044522437723423,1.0
junior,1,24.0,0,1,247.5208,C,5.5114946188815885,1.0
Senior,0,2.0,4,2,31.275,S,3.442819056352975,0.0
Senior,1,21.0,2,0,73.5,S,4.297285406218791,1.0
Senior,1,29.881137667304014,0,0,8.05,S,2.0856720914304723,1.0
Senior,1,32.5,1,0,30.0708,C,3.4035546012358333,1.0
Senior,0,32.5,0,0,13.0,S,2.5649493574615367,0.0
junior,1,54.0,0,1,77.2875,S,4.347532234884687,1.0
Senior,1,12.0,1,0,11.2417,C,2.419630078580691,0.0
Senior,1,29.881137667304014,0,0,7.75,Q,2.0476928433652555,1.0
Senior,1,24.0,0,0,7.1417,S,1.9659508432494155,1.0
Senior,0,29.881137667304014,1,1,22.3583,C,3.107197616774036,0.0
Senior,1,45.0,0,0,6.975,S,1.9423323277074294,1.0
Senior,1,33.0,0,0,7.8958,C,2.0663309725297405,1.0
Senior,1,20.0,0,0,7.05,S,1.9530276168241774,1.0
Senior,0,47.0,1,0,14.5,S,2.6741486494265287,1.0
Senior,0,29.0,1,0,26.0,S,3.258096538021482,1.0
Senior,1,25.0,0,0,13.0,S,2.5649493574615367,1.0
Senior,1,23.0,0,0,15.0458,C,2.711098882480229,1.0
junior,0,19.0,0,2,26.2833,S,3.2689337565093157,0.0
junior,1,37.0,1,0,53.1,S,3.9721769282478934,1.0
Senior,1,16.0,0,0,9.2167,S,2.221017055930222,1.0
junior,1,24.0,0,0,79.2,C,4.37197629882038,1.0
Senior,0,29.881137667304014,0,2,15.2458,C,2.7243040552851014,1.0
Senior,0,22.0,0,0,7.75,S,2.0476928433652555,0.0
Senior,0,24.0,1,0,15.85,S,2.7631695003232895,1.0
Senior,1,19.0,0,0,6.75,Q,1.9095425048844386,1.0
Senior,1,18.0,0,0,11.5,S,2.4423470353692043,1.0
Senior,1,19.0,1,1,36.75,S,3.6041382256588457,1.0
Senior,1,27.0,0,0,7.7958,S,2.0535851271346086,1.0
Senior,0,9.0,2,2,34.375,S,3.5373295559867355,0.0
Senior,1,36.5,0,2,26.0,S,3.258096538021482,1.0
Senior,1,42.0,0,0,13.0,S,2.5649493574615367,0.0
Senior,1,51.0,0,0,12.525,S,2.5277266469709283,0.0
junior,0,22.0,1,0,66.6,S,4.198704577546343,1.0
Senior,1,55.5,0,0,8.05,S,2.0856720914304723,1.0
Senior,1,40.5,0,2,14.5,S,2.6741486494265287,1.0
Senior,1,29.881137667304014,0,0,7.3125,S,1.989585212557975,1.0
junior,1,51.0,0,1,61.3792,C,4.117071015545232,1.0
Senior,0,16.0,0,0,7.7333,Q,2.0455356796500372,0.0
Senior,1,30.0,0,0,8.05,S,2.0856720914304723,1.0
Senior,1,29.881137667304014,0,0,8.6625,S,2.1590033645160216,1.0
Senior,1,29.881137667304014,8,2,69.55,S,4.242045918369452,0.0
Senior,1,44.0,0,1,16.1,S,2.7788192719904172,1.0
Senior,0,40.0,0,0,15.75,S,2.7568403652716422,1.0
Senior,1,26.0,0,0,7.775,S,2.0509134580652977,1.0
Senior,1,17.0,0,0,8.6625,S,2.1590033645160216,1.0
Senior,1,1.0,4,1,39.6875,S,3.6810362766529106,0.0
Senior,1,9.0,0,2,20.525,S,3.021643655338492,0.0
junior,0,29.881137667304014,0,1,55.0,S,4.007333185232471,1.0
Senior,0,45.0,1,4,27.9,S,3.32862668882732,1.0
junior,1,29.881137667304014,0,0,25.925,S,3.2552077541155913,1.0
Senior,1,28.0,0,0,56.4958,S,4.034166299106131,1.0
junior,1,61.0,0,0,33.5,S,3.5115454388310208,1.0
Senior,1,4.0,4,1,29.125,Q,3.371596911885865,0.0
Senior,0,1.0,1,1,11.1333,S,2.409940617298087,0.0
Senior,1,21.0,0,0,7.925,S,2.0700223197633445,1.0
junior,1,56.0,0,0,30.6958,C,3.424125837416519,1.0
Senior,1,18.0,1,1,7.8542,S,2.061048420562944,1.0
Senior,1,29.881137667304014,3,1,25.4667,S,3.237371716404032,0.0
junior,0,50.0,0,0,28.7125,C,3.3573325680152166,0.0
Senior,1,30.0,0,0,13.0,S,2.5649493574615367,1.0
Senior,1,36.0,0,0,0.0,S,-inf,1.0
Senior,0,29.881137667304014,8,2,69.55,S,4.242045918369452,0.0
Senior,1,29.881137667304014,0,0,15.05,C,2.711377991194885,1.0
Senior,1,9.0,4,2,31.3875,S,3.4464097244837033,0.0
Senior,1,1.0,2,1,39.0,S,3.6635616461296463,0.0
Senior,0,4.0,0,2,22.025,S,3.092178171822243,0.0
junior,1,29.881137667304014,0,0,50.0,S,3.912023005428146,1.0
Senior,0,29.881137667304014,1,0,15.5,Q,2.740840023925201,1.0
junior,1,45.0,0,0,26.55,S,3.279029747687948,1.0
Senior,1,40.0,1,1,15.5,Q,2.740840023925201,1.0
Senior,1,36.0,0,0,7.8958,S,2.0663309725297405,1.0
Senior,0,32.0,0,0,13.0,S,2.5649493574615367,1.0
Senior,1,19.0,0,0,13.0,S,2.5649493574615367,1.0
Senior,0,19.0,1,0,7.8542,S,2.061048420562944,0.0
Senior,1,3.0,1,1,26.0,S,3.258096538021482,0.0
junior,0,44.0,0,0,27.7208,C,3.32218303393412,1.0
junior,0,58.0,0,0,146.5208,C,4.9871673979011675,0.0
Senior,1,29.881137667304014,0,0,7.75,Q,2.0476928433652555,1.0
Senior,1,42.0,0,1,8.4042,S,2.128731580890919,1.0
Senior,0,29.881137667304014,0,0,7.75,Q,2.0476928433652555,0.0
Senior,0,24.0,0,0,13.0,S,2.5649493574615367,0.0
Senior,1,28.0,0,0,9.5,S,2.2512917986064953,1.0
Senior,1,29.881137667304014,8,2,69.55,S,4.242045918369452,1.0
Senior,1,34.0,0,0,6.4958,S,1.8711558142080713,1.0
Senior,1,45.5,0,0,7.225,C,1.9775472339984959,1.0
Senior,1,18.0,0,0,8.05,S,2.0856720914304723,1.0
Senior,0,2.0,0,1,10.4625,S,2.3477974358155937,0.0
Senior,1,32.0,1,0,15.85,S,2.7631695003232895,1.0
Senior,1,26.0,0,0,18.7875,C,2.933191755079093,1.0
Senior,0,16.0,0,0,7.75,Q,2.0476928433652555,0.0
junior,1,40.0,0,0,31.0,C,3.4339872044851463,1.0
Senior,1,24.0,0,0,7.05,S,1.9530276168241774,1.0
Senior,0,35.0,0,0,21.0,S,3.044522437723423,0.0
Senior,1,22.0,0,0,7.25,S,1.9810014688665833,1.0
Senior,1,30.0,0,0,13.0,S,2.5649493574615367,1.0
Senior,1,29.881137667304014,1,0,7.75,Q,2.0476928433652555,1.0
junior,0,31.0,1,0,113.275,C,4.729818490553202,0.0
Senior,0,27.0,0,0,7.925,S,2.0700223197633445,0.0
Senior,1,42.0,1,0,27.0,S,3.295836866004329,1.0
junior,0,32.0,0,0,76.2917,C,4.334564151246186,0.0
Senior,1,30.0,0,0,10.5,S,2.3513752571634776,1.0
Senior,1,16.0,0,0,8.05,S,2.0856720914304723,1.0
Senior,1,27.0,0,0,13.0,S,2.5649493574615367,1.0
Senior,1,51.0,0,0,8.05,S,2.0856720914304723,1.0
Senior,1,29.881137667304014,0,0,7.8958,S,2.0663309725297405,1.0
junior,1,38.0,1,0,90.0,S,4.499809670330265,1.0
Senior,1,22.0,0,0,9.35,S,2.2353763433005955,1.0
Senior,1,19.0,0,0,10.5,S,2.3513752571634776,1.0
Senior,1,20.5,0,0,7.25,S,1.9810014688665833,1.0
Senior,1,18.0,0,0,13.0,S,2.5649493574615367,1.0
Senior,0,29.881137667304014,3,1,25.4667,S,3.237371716404032,0.0
junior,0,35.0,1,0,83.475,S,4.424547185829718,1.0
Senior,1,29.0,0,0,7.775,S,2.0509134580652977,1.0
Senior,1,59.0,0,0,13.5,S,2.6026896854443837,1.0
Senior,0,5.0,4,2,31.3875,S,3.4464097244837033,0.0
Senior,1,24.0,0,0,10.5,S,2.3513752571634776,1.0
Senior,0,29.881137667304014,0,0,7.55,S,2.0215475632609334,0.0
Senior,1,44.0,1,0,26.0,S,3.258096538021482,1.0
Senior,0,8.0,0,2,26.25,S,3.2676659890376327,0.0
Senior,1,19.0,0,0,10.5,S,2.3513752571634776,1.0
Senior,1,33.0,0,0,12.275,S,2.507564673680584,1.0
Senior,0,29.881137667304014,1,0,14.4542,C,2.6709850297651974,0.0
Senior,0,29.881137667304014,1,0,15.5,Q,2.740840023925201,0.0
Senior,1,29.0,0,0,10.5,S,2.3513752571634776,1.0
Senior,1,22.0,0,0,7.125,S,1.9636097261547143,1.0
Senior,1,30.0,0,0,7.225,C,1.9775472339984959,1.0
junior,1,44.0,2,0,90.0,Q,4.499809670330265,0.0
Senior,0,25.0,0,0,7.775,S,2.0509134580652977,0.0
Senior,0,24.0,0,2,14.5,S,2.6741486494265287,1.0
junior,1,37.0,1,1,52.5542,S,3.961845018011234,1.0
Senior,1,54.0,1,0,26.0,S,3.258096538021482,0.0
Senior,1,29.881137667304014,0,0,7.25,S,1.9810014688665833,1.0
Senior,0,29.0,1,1,10.4625,S,2.3477974358155937,1.0
junior,1,62.0,0,0,26.55,S,3.279029747687948,1.0
Senior,1,30.0,1,0,16.1,S,2.7788192719904172,1.0
Senior,0,41.0,0,2,20.2125,S,3.006301224903225,1.0
Senior,0,29.0,0,2,15.2458,C,2.7243040552851014,1.0
junior,0,29.881137667304014,0,0,79.2,C,4.37197629882038,1.0
junior,0,30.0,0,0,86.5,S,4.460144413937834,0.0
junior,0,35.0,0,0,512.3292,C,6.238967387173662,0.0
Senior,0,50.0,0,1,26.0,S,3.258096538021482,1.0
Senior,1,29.881137667304014,0,0,7.75,Q,2.0476928433652555,1.0
Senior,1,3.0,4,2,31.3875,S,3.4464097244837033,0.0
junior,1,52.0,1,1,79.65,S,4.3776420363560575,1.0
junior,1,40.0,0,0,0.0,S,-inf,1.0
Senior,0,29.881137667304014,0,0,7.75,Q,2.0476928433652555,0.0
Senior,1,36.0,0,0,10.5,S,2.3513752571634776,1.0
Senior,1,16.0,4,1,39.6875,S,3.6810362766529106,1.0
Senior,1,25.0,1,0,7.775,S,2.0509134580652977,1.0
junior,0,58.0,0,1,153.4625,S,5.033456237506958,1.0
junior,0,35.0,0,0,135.6333,S,4.909954920578875,0.0
junior,1,29.881137667304014,0,0,31.0,S,3.4339872044851463,1.0
Senior,1,25.0,0,0,0.0,S,-inf,1.0
Senior,0,41.0,0,1,19.5,S,2.970414465569701,1.0
junior,1,37.0,0,1,29.7,C,3.391147045808654,1.0
Senior,0,29.881137667304014,0,0,7.75,Q,2.0476928433652555,0.0
junior,0,63.0,1,0,77.9583,S,4.356174068347218,0.0
Senior,0,45.0,0,0,7.75,S,2.0476928433652555,0.0
Senior,1,29.881137667304014,0,0,0.0,S,-inf,1.0
Senior,1,7.0,4,1,29.125,Q,3.371596911885865,0.0
Senior,0,35.0,1,1,20.25,S,3.0081547935525483,1.0
Senior,1,65.0,0,0,7.75,Q,2.0476928433652555,1.0
Senior,1,28.0,0,0,7.8542,S,2.061048420562944,1.0
Senior,1,16.0,0,0,9.5,S,2.2512917986064953,1.0
Senior,1,19.0,0,0,8.05,S,2.0856720914304723,1.0
junior,1,29.881137667304014,0,0,26.0,S,3.258096538021482,1.0
Senior,1,33.0,0,0,8.6625,C,2.1590033645160216,1.0
Senior,1,30.0,0,0,9.5,S,2.2512917986064953,1.0
Senior,1,22.0,0,0,7.8958,S,2.0663309725297405,1.0
Senior,1,42.0,0,0,13.0,S,2.5649493574615367,1.0
Senior,0,22.0,0,0,7.75,Q,2.0476928433652555,0.0
junior,0,26.0,0,0,78.85,S,4.367547313409047,0.0
junior,0,19.0,1,0,91.0792,C,4.51172945766992,1.0
Senior,1,36.0,0,0,12.875,C,2.5552874465497997,1.0
Senior,0,24.0,0,0,8.85,S,2.180417459019838,0.0
Senior,1,24.0,0,0,7.8958,S,2.0663309725297405,1.0
junior,1,29.881137667304014,0,0,27.7208,C,3.32218303393412,1.0
Senior,1,23.5,0,0,7.2292,C,1.9781283799793465,1.0
junior,0,2.0,1,2,151.55,S,5.020915603503812,0.0
junior,1,29.881137667304014,0,0,30.5,S,3.417726683613366,1.0
junior,0,50.0,0,1,247.5208,C,5.5114946188815885,1.0
Senior,0,29.881137667304014,0,0,7.75,Q,2.0476928433652555,0.0
Senior,1,29.881137667304014,2,0,23.25,Q,3.1463051320333655,1.0
Senior,1,19.0,0,0,0.0,S,-inf,1.0
Senior,0,29.881137667304014,0,0,12.35,Q,2.513656063073986,0.0
Senior,1,29.881137667304014,0,0,8.05,S,2.0856720914304723,1.0
junior,1,0.92,1,2,151.55,S,5.020915603503812,0.0
junior,0,29.881137667304014,0,0,110.8833,C,4.708478296903478,0.0
junior,0,17.0,1,0,108.9,C,4.690430029938915,1.0
Senior,1,30.0,1,0,24.0,C,3.1780538303479458,1.0
junior,0,30.0,0,0,56.9292,C,4.041808390519271,0.0
junior,0,24.0,0,0,83.1583,C,4.4207460202604185,0.0
junior,0,18.0,2,2,262.375,C,5.569774778140797,0.0
Senior,0,26.0,1,1,26.0,S,3.258096538021482,1.0
Senior,1,28.0,0,0,7.8958,S,2.0663309725297405,1.0
Senior,1,43.0,1,1,26.25,S,3.2676659890376327,1.0
Senior,0,26.0,0,0,7.8542,S,2.061048420562944,0.0
Senior,0,24.0,1,0,26.0,S,3.258096538021482,1.0
Senior,1,54.0,0,0,14.0,S,2.6390573296152584,0.0
junior,0,31.0,0,2,164.8667,S,5.1051372686027685,0.0
junior,0,40.0,1,1,134.5,C,4.901564199041894,1.0
Senior,1,22.0,0,0,7.25,S,1.9810014688665833,1.0
Senior,1,27.0,0,0,7.8958,S,2.0663309725297405,1.0
Senior,0,30.0,0,0,12.35,Q,2.513656063073986,0.0
Senior,0,22.0,1,1,29.0,S,3.367295829986474,1.0
Senior,1,29.881137667304014,8,2,69.55,S,4.242045918369452,1.0
junior,0,36.0,0,0,135.6333,C,4.909954920578875,0.0
Senior,1,61.0,0,0,6.2375,S,1.830579461077637,1.0
